Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2026-03-18 09:56:40,XL,23702.1,1,1544322,-4610.99,-0.30,0,0.00,-4148.8,-0.27,-4610.99,-0.92
1,Entry long,2026-03-18 09:51:50,TP,23758.8,1,1544322,-4610.99,-0.30,0,0.00,-4148.8,-0.27,-4610.99,-0.92
2,Exit short,2026-03-20 10:31:10,XS,23298.1,1,1510736.5,-4547.53,-0.30,463.28,0.03,-4093.22,-0.27,-9158.52,-1.83
2,Entry short,2026-03-20 10:02:40,TP,23242.1,1,1510736.5,-4547.53,-0.30,463.28,0.03,-4093.22,-0.27,-9158.52,-1.83
