Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2026-03-06 14:01,XL,24644,1,1603816.5,-2918.2,-0.18,929.36,0.06,-2437.64,-0.15,-2918.2,-0.58
1,Entry long,2026-03-06 13:49,MOD,24674.1,1,1603816.5,-2918.2,-0.18,929.36,0.06,-2437.64,-0.15,-2918.2,-0.58
2,Exit short,2026-03-12 13:33,XS,23875.2,1,1549931.5,-2887.05,-0.19,516.52,0.03,-2421.48,-0.16,-5805.25,-1.16
2,Entry short,2026-03-12 13:29,EXT,23845.1,1,1549931.5,-2887.05,-0.19,516.52,0.03,-2421.48,-0.16,-5805.25,-1.16
3,Exit short,2026-03-16 14:37,XS,23420,1,1520343.5,-2869.29,-0.19,2033.4,0.13,-2412.6,-0.16,-8674.54,-1.73
3,Entry short,2026-03-16 14:25,EXT,23389.9,1,1520343.5,-2869.29,-0.19,2033.4,0.13,-2412.6,-0.16,-8674.54,-1.73
