trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
41,2026-03-16,2026-03-16T10:00:50.000000,2026-03-16T10:01:35.000000,CE,23200.0,23200.0,23200.0,23186.95,23177.5,176.7,170.0,9,45,STOP,-6.699999999999989,-502.49999999999915,225.0,7.96875,40,10,282.96875,-785.4687499999991,false
42,2026-03-16,2026-03-16T10:04:25.000000,2026-03-16T10:05:00.000000,CE,23200.0,23200.0,23200.0,23186.2,23203.75,174.6,185.4,7,35,TARGET,10.800000000000011,810.0000000000009,225.0,8.690625,40,10,283.690625,526.309375000001,false
43,2026-03-16,2026-03-16T10:05:00.000000,2026-03-16T10:05:25.000000,CE,23200.0,23200.0,23200.0,23203.75,23193.15,185.4,178.25,5,25,STOP,-7.150000000000006,-536.2500000000005,225.0,8.35546875,40,10,283.35546875,-819.6054687500005,false
44,2026-03-16,2026-03-16T10:14:55.000000,2026-03-16T10:15:35.000000,CE,23150.0,23150.0,23150.0,23155.2,23139.4,183.15,177.85,8,40,STOP,-5.300000000000011,-397.50000000000085,225.0,8.33671875,40,10,283.33671875,-680.8367187500008,false
45,2026-03-16,2026-03-16T10:16:40.000000,2026-03-16T10:17:35.000000,CE,23150.0,23150.0,23100.0,23128.55,23118.8,174.0,168.15,11,55,STOP,-5.849999999999994,-438.74999999999955,225.0,7.88203125,40,10,282.88203125,-721.6320312499995,false
46,2026-03-17,2026-03-17T09:58:20.000000,2026-03-17T09:58:30.000000,CE,23500.0,23500.0,23500.0,23498.75,23492.95,78.1,70.1,2,10,STOP,-8.0,-600.0,225.0,3.2859374999999997,40,10,278.2859375,-878.2859375,false
47,2026-03-17,2026-03-17T09:58:40.000000,2026-03-17T09:58:50.000000,CE,23500.0,23500.0,23500.0,23498.35,23493.3,74.7,68.65,2,10,STOP,-6.049999999999997,-453.7499999999998,225.0,3.2179687500000007,40,10,278.21796875,-731.9679687499997,false
48,2026-03-17,2026-03-17T09:59:50.000000,2026-03-17T10:01:50.000000,CE,23500.0,23500.0,23500.0,23495.8,23508.95,73.15,77.95,24,120,TIME,4.799999999999997,359.9999999999998,225.0,3.6539062500000004,40,10,278.65390625,81.3460937499998,false
49,2026-03-17,2026-03-17T10:02:40.000000,2026-03-17T10:03:45.000000,CE,23500.0,23500.0,23500.0,23520.7,23512.15,84.8,79.45,13,65,STOP,-5.349999999999994,-401.24999999999955,225.0,3.7242187500000004,40,10,278.72421875,-679.9742187499995,false
50,2026-03-17,2026-03-17T10:04:35.000000,2026-03-17T10:05:05.000000,CE,23500.0,23500.0,23500.0,23509.7,23522.85,76.25,84.95,6,30,TARGET,8.700000000000003,652.5000000000002,225.0,3.9820312500000004,40,10,278.98203125,373.51796875000025,false
51,2026-03-18,2026-03-18T09:49:10.000000,2026-03-18T09:50:05.000000,CE,23750.0,23750.0,23750.0,23726.05,23740.9,206.75,219.2,11,55,TARGET,12.449999999999989,933.7499999999991,225.0,10.274999999999999,40,10,285.275,648.4749999999991,false
52,2026-03-18,2026-03-18T09:50:05.000000,2026-03-18T09:51:50.000000,CE,23750.0,23750.0,23750.0,23740.9,23739.6,219.2,214.1,21,105,STOP,-5.099999999999994,-382.49999999999955,225.0,10.0359375,40,10,285.0359375,-667.5359374999996,false
53,2026-03-18,2026-03-18T10:14:00.000000,2026-03-18T10:15:35.000000,CE,23650.0,23650.0,23650.0,23651.95,23672.2,233.05,241.05,19,95,TARGET,8.0,600.0,225.0,11.299218750000001,40,10,286.29921875,313.70078125,false
54,2026-03-18,2026-03-18T10:16:45.000000,2026-03-18T10:18:10.000000,CE,23700.0,23700.0,23700.0,23682.7,23698.65,216.9,225.0,17,85,TARGET,8.099999999999994,607.4999999999995,225.0,10.546875,40,10,285.546875,321.95312499999955,false
55,2026-03-18,2026-03-18T10:18:10.000000,2026-03-18T10:20:10.000000,CE,23700.0,23700.0,23700.0,23698.65,23711.4,225.0,229.9,24,120,TIME,4.900000000000006,367.50000000000045,225.0,10.776562499999999,40,10,285.7765625,81.72343750000044,false
56,2026-03-19,2026-03-19T09:30:00.000000,2026-03-19T09:32:00.000000,PE,23300.0,23300.0,23300.0,23313.35,23313.6,232.4,235.55,24,120,TIME,3.1500000000000057,236.25000000000043,225.0,11.041406250000001,40,10,286.04140625,-49.791406249999596,false
57,2026-03-19,2026-03-19T09:32:00.000000,2026-03-19T09:32:45.000000,PE,23300.0,23300.0,23300.0,23313.6,23317.85,235.55,229.5,9,45,STOP,-6.050000000000011,-453.75000000000085,225.0,10.7578125,40,10,285.7578125,-739.5078125000009,false
58,2026-03-19,2026-03-19T09:34:35.000000,2026-03-19T09:36:00.000000,PE,23300.0,23300.0,23300.0,23302.95,23295.8,241.85,250.55,17,85,TARGET,8.700000000000017,652.5000000000013,225.0,11.74453125,40,10,286.74453125,365.7554687500012,false
59,2026-03-19,2026-03-19T09:36:00.000000,2026-03-19T09:37:45.000000,PE,23300.0,23300.0,23300.0,23295.8,23299.95,250.55,243.5,21,105,STOP,-7.050000000000011,-528.7500000000009,225.0,11.4140625,40,10,286.4140625,-815.1640625000009,false
60,2026-03-19,2026-03-19T09:38:30.000000,2026-03-19T09:39:10.000000,PE,23300.0,23300.0,23250.0,23275.6,23259.35,261.7,271.2,8,40,TARGET,9.5,712.5,225.0,12.712499999999999,40,10,287.7125,424.7875,false
