trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
51,2026-03-18,2026-03-18T09:30:10.000000,2026-03-18T09:32:10.000000,PE,23750.0,23750.0,23750.0,23725.95,23726.55,232.8,232.95,24,120,TIME,0.14999999999997726,11.249999999998295,225.0,10.91953125,40,10,285.91953125,-274.6695312500017,false
52,2026-03-18,2026-03-18T09:53:55.000000,2026-03-18T09:55:10.000000,PE,23750.0,23750.0,23700.0,23731.05,23716.5,229.55,238.0,15,75,TARGET,8.449999999999989,633.7499999999991,225.0,11.15625,40,10,286.15625,347.5937499999991,false
53,2026-03-18,2026-03-18T10:12:55.000000,2026-03-18T10:14:05.000000,PE,23650.0,23650.0,23650.0,23645.55,23652.8,234.25,227.25,14,70,STOP,-7.0,-525.0,225.0,10.65234375,40,10,285.65234375,-810.65234375,false
54,2026-03-18,2026-03-18T10:50:20.000000,2026-03-18T10:52:20.000000,PE,23750.0,23750.0,23750.0,23762.45,23757.45,215.95,219.7,24,120,TIME,3.75,281.25,225.0,10.2984375,40,10,285.2984375,-4.048437499999977,false
55,2026-03-18,2026-03-18T11:30:15.000000,2026-03-18T11:32:15.000000,CE,23800.0,23800.0,23800.0,23791.3,23797.05,219.2,221.35,24,120,TIME,2.1500000000000057,161.25000000000043,225.0,10.37578125,40,10,285.37578125,-124.12578124999956,false
56,2026-03-19,2026-03-19T09:51:45.000000,2026-03-19T09:52:10.000000,PE,23250.0,23250.0,23250.0,23241.65,23252.6,265.05,258.75,5,25,STOP,-6.300000000000011,-472.50000000000085,225.0,12.12890625,40,10,287.12890625,-759.6289062500009,false
57,2026-03-19,2026-03-19T10:29:15.000000,2026-03-19T10:31:15.000000,CE,23250.0,23250.0,23300.0,23271.35,23278.2,235.55,239.85,24,120,TIME,4.299999999999983,322.49999999999875,225.0,11.24296875,40,10,286.24296875,36.25703124999876,false
58,2026-03-19,2026-03-19T10:40:55.000000,2026-03-19T10:41:35.000000,CE,23300.0,23300.0,23300.0,23308.35,23300.65,226.8,221.35,8,40,STOP,-5.450000000000017,-408.75000000000125,225.0,10.37578125,40,10,285.37578125,-694.1257812500012,false
59,2026-03-19,2026-03-19T11:53:25.000000,2026-03-19T11:55:25.000000,CE,23250.0,23250.0,23250.0,23249.95,23243.7,226.35,223.55,24,120,TIME,-2.799999999999983,-209.99999999999872,225.0,10.47890625,40,10,285.47890625,-495.4789062499988,false
60,2026-03-19,2026-03-19T12:13:25.000000,2026-03-19T12:14:50.000000,CE,23250.0,23250.0,23250.0,23250.85,23266.5,225.3,234.3,17,85,TARGET,9.0,675.0,225.0,10.9828125,40,10,285.9828125,389.0171875,false
