trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
1,2026-03-10,2026-03-10T09:41:40.000000,2026-03-10T09:42:35.000000,CE,24100.0,24100.0,24100.0,24098.3,24115.95,96.1,104.3,11,55,TARGET,8.200000000000003,615.0000000000002,225.0,4.8890625,40,10,279.8890625,335.1109375000002,false
2,2026-03-10,2026-03-10T09:42:35.000000,2026-03-10T09:42:50.000000,CE,24100.0,24100.0,24100.0,24115.95,24114.75,104.3,98.85,3,15,STOP,-5.450000000000003,-408.7500000000002,225.0,4.633593749999999,40,10,279.63359375,-688.3835937500003,false
3,2026-03-10,2026-03-10T09:42:55.000000,2026-03-10T09:44:20.000000,CE,24100.0,24100.0,24150.0,24117.4,24135.1,102.7,111.65,17,85,TARGET,8.950000000000003,671.2500000000002,225.0,5.23359375,40,10,280.23359375,391.0164062500002,false
4,2026-03-10,2026-03-10T09:47:50.000000,2026-03-10T09:48:25.000000,CE,24150.0,24150.0,24100.0,24127.25,24115.2,78.55,74.0,7,35,STOP,-4.549999999999997,-341.2499999999998,225.0,3.46875,40,10,278.46875,-619.7187499999998,false
5,2026-03-17,2026-03-17T09:30:00.000000,2026-03-17T09:30:20.000000,CE,23400.0,23400.0,23350.0,23381.75,23371.15,70.9,65.35,4,20,STOP,-5.550000000000011,-416.25000000000085,225.0,3.0632812499999997,40,10,278.06328125,-694.3132812500008,false
6,2026-03-17,2026-03-17T09:30:20.000000,2026-03-17T09:31:50.000000,CE,23350.0,23350.0,23350.0,23371.15,23370.8,89.45,93.5,18,90,TIME,4.049999999999997,303.7499999999998,225.0,4.3828125,40,10,279.3828125,24.367187499999773,false
7,2026-03-17,2026-03-17T09:32:10.000000,2026-03-17T09:32:30.000000,CE,23350.0,23350.0,23400.0,23365.6,23375.55,87.95,95.75,4,20,TARGET,7.799999999999997,584.9999999999998,225.0,4.48828125,40,10,279.48828125,305.5117187499998,false
8,2026-03-17,2026-03-17T09:32:30.000000,2026-03-17T09:33:25.000000,CE,23400.0,23400.0,23400.0,23375.55,23393.55,71.2,80.55,11,55,TARGET,9.349999999999994,701.2499999999995,225.0,3.77578125,40,10,278.77578125,422.4742187499995,false
